name,artist,positive,neutral,negative,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Welcome To The Pleasuredome,Frankie Goes To Hollywood,1,0,0,6PF0WYSCH6OhGKHRHOQSxG,0.665,0.462,11,-18.178,0,0.0391,0.128,0.0157,0.649,0.518,113.205
Stranger in Paradise,Tony Bennett,0,1,0,4Opi11fdWRkyNtkyyA2MKP,0.46,0.126,0,-18.617,1,0.047,0.927,0.902,0.076,0.439,125.814
Break My Stride,Matthew Wilder,2,0,0,1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,10,-11.047,1,0.0607,0.195,0,0.0914,0.828,110.077
Into The Nightlife,Cyndi Lauper,1,0,0,4wDezvrA2mv0JTSHkLwOTW,0.636,0.54,9,-7.167,0,0.0589,0.00011,0.0003,0.203,0.674,124.002
It's About Time,Jamie Cullum,0,2,0,5ycEpZQumS0oXR46E7tBWM,0.765,0.92,6,-4.362,1,0.0984,0.249,0,0.618,0.799,121.011
Popular Modern Themes,Chokebore,0,0,1,6hiJVb0tFFdbuBDjZWX54j,0.446,0.857,7,-6.574,1,0.0269,2.07e-05,0.472,0.328,0.697,93.513
Walk the Walk,Poe,1,0,0,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
Auburn and Ivory,Beach House,0,1,0,5cqaG09jwHAyDURuZXViwC,0.387,0.274,5,-15.14,0,0.0298,0.864,0,0.0742,0.381,145.546
I Know You,Mike Stern,0,1,0,10M2Ex445zw585Ducldzkw,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986
Spanish Grease,Willie Bobo,1,0,0,4FOFC3YNvDgLesoVqRthZh,0.795,0.569,3,-10.72,1,0.0346,0.258,5.78e-06,0.277,0.862,127.259
Not For You,Pearl Jam,0,0,1,7ykaUgkdQWJLsMuOymTV2A,0.607,0.755,7,-6.886,1,0.0317,0.219,0.00399,0.082,0.867,116.119
Dusty Roads,Filthy Thieving Bastards,1,0,0,1wOxTOMMt5N7aw6kBItAW4,0.72,0.576,2,-15.118,1,0.029,0.271,0,0.256,0.947,111.592
Double Feature,Camera Obscura,0,1,1,7AUOZzM5P8UDuA0zga0PP8,0.417,0.281,9,-15.174,1,0.028,0.515,1.12e-05,0.0705,0.311,90.261
